en,fr
"Back in New York, I am the head of development for a non-profit called Robin Hood.","A New York, je suis responsable du développment pour un organisme à but non lucratif appelé Robin Hood."
"When I'm not fighting poverty, I'm fighting fires as the assistant captain of a volunteer fire company.","Quand je ne suis pas en train de combattre la pauvreté, je combat des incendies en tant qu'assistant capitaine d'une compagnie de pompiers volontaires."
"Now in our town, where the volunteers supplement a highly skilled career staff, you have to get to the fire scene pretty early to get in on any action.","Et dans notre ville, où les volontaires viennent renforcer une équipe professionnelle hautement qualifiée, il faut arriver sur le lieu de l'incendie très tôt pour prendre part à l'action."
I remember my first fire.,Je me souviens de mon premier incendie.
"I was the second volunteer on the scene, so there was a pretty good chance I was going to get in.","J'étais le deuxième volontaire sur les lieux, et donc j'avais de bonnes chances d'y aller."
But still it was a real footrace against the other volunteers to get to the captain in charge to find out what our assignments would be.,Mais pourtant c'était une vrai course à pied contre les autres volontaires pour arriver jusqu'au capitaine responsable pour découvrir ce que seraient nos missions.
"When I found the captain, he was having a very engaging conversation with the homeowner, who was surely having one of the worst days of her life.","Quand j'ai trouvé le capitaine, il était en pleine conversation avec la propriétaire, qui était surement en train de vivre la pire journée de sa vie."
"Here it was, the middle of the night, she was standing outside in the pouring rain, under an umbrella, in her pajamas, barefoot, while her house was in flames.","C'était en pleine nuit, elle était là dehors sous la pluie battante, sous un parapluie, en pyjama, pieds nus, pendant que sa maison était en flammes."
The other volunteer who had arrived just before me — let's call him Lex Luther — (Laughter) got to the captain first and was asked to go inside and save the homeowner's dog. The dog! I was stunned with jealousy.,L'autre volontaire qui était arrivé juste avant moi — appelons-le Lex Luther — (Rires) est arrivé le premier auprès du capitaine et on lui a demandé d'aller à l'intérieur et de sauver le chien de la propriétaire. Le chien ! J'étais abasourdi de jalousie.
"Here was some lawyer or money manager who, for the rest of his life, gets to tell people that he went into a burning building to save a living creature, just because he beat me by five seconds.","C'était un avocat ou un brasseur d'argent qui, pour le reste de sa vie, pourrait dire aux gens qu'il était entré dans un bâtiment en feu pour sauver une créature vivante, juste parce qu'il m'avait battu de 5 secondes."
"Well, I was next.","Bon, j'étais le suivant."
The captain waved me over.,Le capitaine m'a fait signe de venir.
"He said, ""Bezos, I need you to go into the house. I need you to go upstairs, past the fire, and I need you to get this woman a pair of shoes."" (Laughter) I swear.","Il a dit, ""Bezos, je veux que tu entres dans la maison, je veux que tu ailles au premier, que tu traverse le feu, et je veux que tu ailles chercher une paire de chaussures pour cettte femme."" (Rires) Je le jure."
"So, not exactly what I was hoping for, but off I went — up the stairs, down the hall, past the 'real' firefighters, who were pretty much done putting out the fire at this point, into the master bedroom to get a pair of shoes.","Alors, pas exactement ce que j'espérais, mais j'y suis allé — au premier, au bout du couloir, je suis passé devant les vrais pompiers, qui avait quasiment éteint le feu à ce stade, je suis entré dans la chambre pour prendre une paire de chaussures."
"Now I know what you're thinking, but I'm no hero. (Laughter) I carried my payload back downstairs where I met my nemesis and the precious dog by the front door.","Et je sais ce que vous pensez, mais je ne suis pas un héros. (Rires) J'ai rapporté ma charge au rez-de-chaussée où j'ai rencontré mon ennemi et le précieux chien près de la porte d'entrée."
"We took our treasures outside to the homeowner, where, not surprisingly, his received much more attention than did mine.","Nous avons emmené nos trésors hors de la maison et jusqu'à la propriétaire, où, sans surprise, le sien a reçu beaucoup plus d'attention que le mien."
"A few weeks later, the department received a letter from the homeowner thanking us for the valiant effort displayed in saving her home.","Quelques semaines plus tard, le département a reçu une lettre de la propriétaire nous remerciant pour les vaillants efforts que nous avions fournis pour sauver sa maison."
The act of kindness she noted above all others: someone had even gotten her a pair of shoes.,Le gentil geste qu'elle a remarqué parmi tous les autres : quelqu'un lui avait même amené une paire de chaussures
(Laughter),(Rires)
"In both my vocation at Robin Hood and my avocation as a volunteer firefighter, I am witness to acts of generosity and kindness on a monumental scale, but I'm also witness to acts of grace and courage on an individual basis.","Dans le cadre de ma vocation à Robin Hood comme dans le cadre de celle entant que pompier volontaire, je suis témoin d'actes de générosité et de gentillesse à une échelle momumentale, mais je suis aussi témoin d'actes de grâce et de courage sur le plan individuel."
"And you know what I've learned? They all matter. So as I look around this room at people who either have achieved, or are on their way to achieving, remarkable levels of success, I would offer this reminder: don't wait.","Et vous savez ce que j'ai appris ? Ils ont tous de l'importance. Alors quand je regarde dans cette salle les gens qui ont soit atteint, ou sont en passe d'obtenir, des niveaux remarquables de réussite, je voudrais vous offrir ce rappel : n'attendez pas."
Don't wait until you make your first million to make a difference in somebody's life.,N'attendez pas d'avoir gagné votre premier million pour faire la différence dans la vie de quelqu'un.
"If you have something to give, give it now.","Si vous avez quelque chose à donner, donnez-le maintenant."
Serve food at a soup kitchen. Clean up a neighborhood park. Be a mentor.,"Servez de la nourriture dans une soupe populaire, nettoyez un parc dans votre quartier, soyez un mentor."
"Not every day is going to offer us a chance to save somebody's life, but every day offers us an opportunity to affect one.","Ce n'est pas tous les jours qu'on se voit offerte une chance de sauver la vie de quelqu'un, mais on a tous les jours une possibilité d'en affecter une."
So get in the game. Save the shoes.,"Alors entrez dans le jeu, sauvez les chaussures."
Thank you.,Merci.
(Applause),(Applaudissements)
"Bruno Giussani: Mark, Mark, come back.","Bruno Giussani : Mark, Mark, revenez."
Mark Bezos: Thank you.,Mark Bezos : Merci.
I just came back from a community that holds the secret to human survival.,Je viens de revenir d'une communauté qui détient le secret de la survie de l'humanité.
"It's a place where women run the show, have sex to say hello, and play rules the day — where fun is serious business.","C'est un endroit où les femmes ont le pouvoir, ont des rapports sexuels pour dire bonjour, et où le jeu dicte le cours d'une journée — où s'amuser est une activité sérieuse."
"And no, this isn't Burning Man or San Francisco. (Laughter) Ladies and gentlemen, meet your cousins.","Et non, ce n'est pas le festival Burning Man ou San Francisco. (Rires) Mesdames et messieurs, je vous présente vos cousins."
This is the world of wild bonobos in the jungles of Congo.,Voici le monde des bonobos sauvages dans les jungles du Congo.
"Bonobos are, together with chimpanzees, your living closest relative.","Les bonobos sont, avec les chimpanzés, vos cousins vivants les plus proches."
"That means we all share a common ancestor, an evolutionary grandmother, who lived around six million years ago.","Cela veut dire que nous avons tous en commun un même ancêtre, une grand-mère dans notre évolution, qui vivait il y a environ 6 millions d'années."
"Now, chimpanzees are well-known for their aggression.",Les chimpanzés sont bien connus pour leur agressivité.
(Laughter),(Rires)
"But unfortunately, we have made too much of an emphasis of this aspect in our narratives of human evolution.","Mais malheureusement, nous nous sommes trop concentrés sur cet aspect dans nos théories sur l'évolution humaine."
But bonobos show us the other side of the coin.,Mais les bonobos nous montrent le revers de la médaille.
"While chimpanzees are dominated by big, scary guys, bonobo society is run by empowered females. These guys have really worked something out, since this leads to a highly tolerant society where fatal violence has not been observed yet.","Alors que les singes mâles imposants dominent les chimpanzés, un clan de bonobo est contrôlé par des femelles au pouvoir Ces singes ont vraiment tout compris, car cela les amène à vivre dans une société très tolérante, où les actes mortels de violence n'ont jamais été observés."
"But unfortunately, bonobos are the least understood of the great apes.","Mais malheureusement, les bonobos sont les grands singes les moins compris."
"They live in the depths of the Congolese jungle, and it has been very difficult to study them.","Ils vivent au plus profond de la jungle congolaise, et les étudier s'est avéré très difficile."
"The Congo is a paradox — a land of extraordinary biodiversity and beauty, but also the heart of darkness itself — the scene of a violent conflict that has raged for decades and claimed nearly as many lives as the First World War.","Le Congo est un paradoxe — un pays à la beauté et la biodiversité extraordinaires mais également le cœur du Mal lui-même — l'endroit où un conflit violent, qui fait rage depuis des décennies, a fait presque autant de victimes que la Première Guerre Mondiale."
"Not surprisingly, this destruction also endangers bonobo survival.","Et sans surprise, cette destruction met également en péril la survie du bonobo."
Bushmeat trades and forest loss means we couldn't fill a small stadium with all the bonobos that are left in the world — and we're not even sure of that to be honest.,"Entre le braconnage et la déforestation, nous aurions du mal à remplir un petit stade avec tous les bonobos restant au monde — et nous n'en sommes même pas sûrs."
"Yet, in this land of violence and chaos, you can hear hidden laughter swaying the trees.","Cependant, dans ce pays de violence et de chaos, on peut entendre des rires cachés qui parcourent les arbres."
"Who are these cousins? We know them as the ""make love, not war"" apes since they have frequent, promiscuous and bisexual sex to manage conflict and solve social issues.","Qui sont ces cousins ? Nous les appelons les singes ""Faites l'amour, pas la guerre"", parce qu'ils ont des rapports sexuels fréquents, avec plusieurs partenaires, et même bisexuels. afin de résoudre leurs conflits et les problèmes du clan."
"Now, I'm not saying this is the solution to all of humanity's problems — since there's more to bonobo life than the Kama Sutra.","Bien sûr, je ne veux pas dire que c'est la solution à tous les maux de l'humanité — et il y a bien plus dans la vie d'un bonobo que le Kama Sutra."
"Bonobos, like humans, love to play throughout their entire lives.","Les bonobos, comme les humains, adorent jouer pendant toute leur vie."
Play is not just child's games.,Le jeu n'est pas juste enfantin.
"For us and them, play is foundational for bonding relationships and fostering tolerance.","Pour nous comme pour eux, le jeu est un élément fondamental dans la création de liens relationnels et il nourrit la tolérance."
It's where we learn to trust and where we learn about the rules of the game.,"C'est en jouant que nous apprenons à faire confiance, et là que nous apprenons toutes les règles du jeu."
"Play increases creativity and resilience, and it's all about the generation of diversity — diversity of interactions, diversity of behaviors, diversity of connections.","Jouer augmente la créativité et la résistance, et tout ceci relève de la diversité — la diversité des interactions, diversité des comportements, diversité des connections."
"And when you watch bonobo play, you're seeing the very evolutionary roots of human laughter, dance and ritual.","Et lorsqu'on regarde un bonobo jouer, on voit en fait les racines de l'évolution du rire humain, de la danse et des rites."
Play is the glue that binds us together.,Le jeu est la colle qui nous tient ensemble.
"Now, I don't know how you play, but I want to show you a couple of unique clips fresh from the wild.","Bien sur, je ne sais pas comment vous jouez, mais je veux vous montrer quelques clips uniques venant directement de la jungle."
"First, it's a ball game bonobo-style — and I do not mean football.","Pour commencer, voilà un jeu de ballon, façon bonobo — et je ne parle pas de football."
"So here, we have a young female and a male engaged in a chase game.","Voici ici, une jeune femelle et un male qui s'adonnent à une course poursuite."
Have a look what she's doing.,Regardez ce qu'elle fait.
"It might be the evolutionary origin of the phrase, ""she's got him by the balls."" (Laughter) Only I think that he's rather loving it here, right?","Cela pourrait être l'origine de la phrase : ""Elle le tient par les couilles."" (Rires) Mais je pense qu'il apprécie cela dans ce cas-là."
Yeah. (Laughter) So sex play is common in both bonobos and humans.,Oui. (Rires) Donc les jeux sexuels sont communs chez les bonobos comme chez les humains.
And this video is really interesting because it shows — this video's really interesting because it shows the inventiveness of bringing unusual elements into play — such as testicles — and also how play both requires trust and fosters trust — while at the same time being tremendous fun.,Et cette vidéo est très intéressante car elle montre — Cette vidéo est très intéressante car elle montre l'inventivité d'inclure des éléments peu communs dans un jeu — comme les testicules — et aussi à quel point jouer demande de la confiance et génère de la confiance — tout en étant en même temps très amusant.
"But play's a shapeshifter. (Laughter) Play's a shapeshifter, and it can take many forms, some of which are more quiet, imaginative, curious — maybe where wonder is discovered anew.","Mais un jeu change de forme. (Rires) Un jeu change de forme, et il peut en prendre beaucoup ; certaines sont plus silencieuses, d'autres plus imaginatives, ou plus curieuses — où l'on redécouvre peut-être l'émerveillement."
